,Company,TypeName,Inches,Ram(GB),OpSys,Weight(Kg),Price_euros,MemorySSD(GB),MemoryHDD(GB),MemoryFlash(GB),MemoryHybrid(GB),CPU_Company,CPU_Version,CPU_Speed(GHz),GPU_Company,GPU_Version,ScreenResolution_Type,ScreenResolution_Width,ScreenResolution_High
148,MSI,Gaming,17.3,16,Windows 10,2.9,2029.0,256.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1070,Full HD,1920,1080
149,Acer,Notebook,15.6,4,Windows 10,2.1,447.0,0.0,1024.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Unknown,1366,768
150,Dell,Gaming,15.6,16,Windows 10,2.56,1249.26,512.0,0.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,Full HD,1920,1080
151,Dell,Gaming,15.6,8,Windows 10,2.62,899.0,0.0,0.0,0.0,1024.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,Full HD,1920,1080
152,Lenovo,Notebook,15.6,4,Windows 10,1.9,498.0,128.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Unknown,1366,768
153,MSI,Gaming,17.3,16,Windows 10,2.8,1890.0,256.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,Full HD,1920,1080
154,HP,Ultrabook,14.0,4,Windows 10,1.48,1082.0,256.0,0.0,0.0,0.0,Intel,Core i5 7500U,2.7,Intel,HD Graphics 620,Full HD,1920,1080
155,HP,Notebook,15.6,6,Windows 10,1.91,619.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,AMD,Radeon 520,Full HD,1920,1080
156,Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,629.0,256.0,0.0,0.0,0.0,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,IPS Panel Full HD / Touchscreen,1920,1080
157,Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,1315.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,HD Graphics 620,Full HD / Touchscreen,1920,1080
158,Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,1049.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,Full HD / Touchscreen,1920,1080
159,Toshiba,Notebook,15.6,4,Windows 10,2.1,447.0,0.0,500.0,0.0,0.0,Intel,Core i3 6006U,2.2,Intel,HD Graphics 520,Unknown,1366,768
160,Asus,Notebook,15.6,4,Windows 10,2.03,403.0,0.0,1024.0,0.0,0.0,AMD,A9-Series 9420,3.0,AMD,Radeon R5 M420,Unknown,1366,768
161,Acer,Notebook,17.3,4,Windows 10,3.0,805.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Nvidia,GeForce MX150,IPS Panel Full HD,1920,1080
162,Dell,Notebook,15.6,8,Windows 10,2.13,728.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,AMD,Radeon 520,Full HD,1920,1080
163,Lenovo,Gaming,15.6,16,Windows 10,2.5,1079.0,256.0,0.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,IPS Panel Full HD,1920,1080
164,Acer,Notebook,15.6,4,Windows 10,2.1,348.0,0.0,1024.0,0.0,0.0,Intel,Celeron Dual Core N3350,1.1,Intel,HD Graphics 500,Unknown,1366,768
165,MSI,Gaming,15.6,16,Windows 10,2.4,1799.0,256.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,IPS Panel Full HD,1920,1080
166,Acer,Notebook,15.6,4,Windows 10,2.1,363.51,0.0,1024.0,0.0,0.0,Intel,Pentium Quad Core N4200,1.1,Intel,HD Graphics 505,Unknown,1366,768
167,Dell,Gaming,15.6,8,Windows 10,2.56,1060.49,128.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,Full HD,1920,1080
168,Acer,Notebook,17.3,8,Windows 10,3.0,854.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Nvidia,GeForce MX150,IPS Panel Full HD,1920,1080
169,HP,Notebook,13.3,4,Windows 10,1.49,754.0,0.0,500.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,IPS Panel Full HD,1920,1080
170,Huawei,Ultrabook,13.0,8,Windows 10,1.05,1349.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,IPS Panel Full HD,2160,1440
171,HP,Notebook,17.3,6,Windows 10,2.71,699.0,0.0,2048.0,0.0,0.0,Intel,Core i5 7200U,2.5,AMD,Radeon 520,IPS Panel Full HD,1920,1080
172,Lenovo,Notebook,15.6,4,No OS,2.2,309.0,0.0,500.0,0.0,0.0,AMD,A6-Series 9220,2.9,AMD,Radeon R4 Graphics,Unknown,1366,768
173,Toshiba,Notebook,15.6,4,Windows 10,2.0,489.0,0.0,500.0,0.0,0.0,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,Unknown,1366,768
174,HP,Notebook,17.3,8,Windows 10,2.5,923.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Nvidia,GeForce 930MX,Full HD,1920,1080
175,Dell,Notebook,15.6,8,Windows 10,2.3,459.0,0.0,1024.0,0.0,0.0,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,Unknown,1366,768
176,Acer,Notebook,15.6,4,Windows 10,2.1,449.0,128.0,0.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Unknown,1366,768
177,MSI,Gaming,18.4,32,Windows 10,4.4,2799.0,512.0,1024.0,0.0,0.0,Intel,Core i7 6920HQ,2.9,Nvidia,GTX 980 SLI,Full HD,1920,1080
178,Lenovo,Notebook,15.6,8,Windows 10,1.9,813.0,128.0,1024.0,0.0,0.0,Intel,Core i5 7200U,2.5,AMD,R17M-M1-70,Full HD,1920,1080
179,HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,1499.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,IPS Panel 4K Ultra HD / Touchscreen,3840,2160
180,Dell,Notebook,15.6,16,Linux,2.02,1049.0,256.0,2048.0,0.0,0.0,Intel,Core i7 8550U,1.8,AMD,Radeon 530,Full HD,1920,1080
181,Dell,Ultrabook,13.3,8,Windows 10,1.23,1399.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,Full HD,1920,1080
182,Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,1849.0,512.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,IPS Panel 4K Ultra HD / Touchscreen,3840,2160
183,Toshiba,Notebook,15.6,8,Windows 10,2.0,793.0,128.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Unknown,1366,768
184,Xiaomi,Notebook,15.6,8,No OS,1.95,1199.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Nvidia,GeForce MX150,IPS Panel Full HD,1920,1080
185,Dell,Notebook,17.3,16,Windows 10,2.77,1549.0,512.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce 150MX,Full HD / Touchscreen,1920,1080
186,Dell,Notebook,15.6,16,Windows 10,2.06,2397.0,512.0,0.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,4K Ultra HD / Touchscreen,3840,2160
187,Lenovo,Gaming,15.6,8,No OS,2.4,779.0,256.0,0.0,0.0,0.0,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,IPS Panel Full HD,1920,1080
188,Acer,Ultrabook,13.3,8,Windows 10,1.12,989.0,256.0,0.0,0.0,0.0,Intel,Core i5 7Y54,1.2,Intel,HD Graphics 615,IPS Panel Full HD,1920,1080
189,Dell,Notebook,17.3,8,Windows 10,2.8,1085.0,128.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,AMD,Radeon 530,Full HD,1920,1080
190,Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.42,2824.0,1024.0,0.0,0.0,0.0,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,Touchscreen,2560,1440
191,Vero,Notebook,14.0,4,Windows 10,1.3,260.0,0.0,0.0,32.0,0.0,Intel,Celeron Dual Core N3350,1.1,Intel,HD Graphics 500,IPS Panel Full HD,1920,1080
192,Xiaomi,Ultrabook,13.3,8,No OS,1.3,999.9,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Nvidia,GeForce MX150,IPS Panel Full HD,1920,1080
193,Lenovo,Notebook,17.3,8,No OS,2.8,698.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Nvidia,GeForce MX150,Unknown,1600,900
194,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,839.0,0.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,IPS Panel Full HD / Touchscreen,1920,1080
195,HP,Notebook,17.3,8,Windows 10,2.5,914.0,0.0,1024.0,0.0,0.0,Intel,Core i5 8250U,1.6,Nvidia,GeForce 930MX,IPS Panel Full HD,1920,1080
196,Razer,Gaming,17.3,32,Windows 10,3.49,6099.0,1024.0,0.0,0.0,0.0,Intel,Core i7 7820HK,2.9,Nvidia,GeForce GTX 1080,4K Ultra HD / Touchscreen,3840,2160
197,HP,Notebook,13.3,8,Windows 10,1.49,959.0,512.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,Full HD,1920,1080
198,HP,Gaming,17.3,16,Windows 10,3.35,1379.0,256.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,IPS Panel Full HD,1920,1080
199,HP,Notebook,17.3,8,Windows 10,2.5,1045.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce 930MX ,Full HD,1920,1080
200,Dell,Gaming,15.6,16,Windows 10,2.65,1845.0,512.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,IPS Panel 4K Ultra HD,3840,2160
201,Lenovo,Notebook,15.6,4,Windows 10,2.1,493.0,128.0,0.0,0.0,0.0,Intel,Core i5 6200U,2.3,Intel,HD Graphics 520,Unknown,1366,768
202,Acer,Notebook,15.6,8,Windows 10,2.23,742.0,0.0,1024.0,0.0,0.0,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,Full HD,1920,1080
203,Lenovo,Gaming,15.6,16,Windows 10,3.2,1749.0,512.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,IPS Panel Full HD,1920,1080
204,Dell,Workstation,15.6,16,Windows 10,2.8,3055.0,256.0,1024.0,0.0,0.0,Intel,Xeon E3-1505M V6,3.0,Nvidia,Quadro M1200,4K Ultra HD,3840,2160
205,Lenovo,Gaming,15.6,16,No OS,2.4,1398.0,512.0,0.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,Full HD,1920,1080
206,Dell,Notebook,15.6,6,Windows 10,2.3,439.0,0.0,1024.0,0.0,0.0,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,Touchscreen,1366,768
207,Dell,Ultrabook,13.3,8,Windows 10,1.21,1949.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,IPS Panel 4K Ultra HD / Touchscreen,3840,2160
208,Dell,Ultrabook,13.3,8,Windows 10,1.2,1449.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,Full HD,1920,1080
209,Lenovo,Notebook,15.6,8,Windows 10,2.2,597.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Unknown,1366,768
210,Acer,Notebook,15.6,8,Linux,2.4,779.0,0.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,Full HD,1920,1080
211,Asus,Gaming,17.3,16,Windows 10,2.9,1407.0,256.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,Full HD,1920,1080
212,HP,Notebook,15.6,4,No OS,2.1,349.0,0.0,500.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Full HD,1920,1080
213,Lenovo,Notebook,15.6,8,No OS,2.2,549.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Full HD,1920,1080
214,Huawei,Ultrabook,13.0,8,Windows 10,1.05,1499.0,512.0,0.0,0.0,0.0,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,IPS Panel Full HD,2160,1440
215,Dell,Ultrabook,13.3,8,Windows 10,1.4,931.88,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,AMD,Radeon 530,IPS Panel Full HD,1920,1080
216,Lenovo,Notebook,17.3,8,No OS,2.8,589.0,0.0,1024.0,0.0,0.0,Intel,Core i5 7200U,2.5,Nvidia,GeForce GTX 940MX,Unknown,1600,900
217,HP,Notebook,14.0,8,Windows 10,1.63,1031.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce 930MX,Full HD,1920,1080
218,Dell,Ultrabook,14.0,8,Windows 10,1.6,1149.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,Full HD,1920,1080
219,Dell,2 in 1 Convertible,13.3,16,Windows 10,1.62,1279.0,512.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,Full HD / Touchscreen,1920,1080
220,Dell,Notebook,15.6,8,Linux,2.2,677.35,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,AMD,Radeon 520,Full HD,1920,1080
221,Lenovo,2 in 1 Convertible,14.0,8,Windows 10,1.74,899.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,IPS Panel Full HD,1920,1080
222,Toshiba,Ultrabook,13.3,8,Windows 10,1.2,1363.0,256.0,0.0,0.0,0.0,Intel,Core i7 6500U,2.5,Intel,HD Graphics 520,Full HD,1920,1080
223,HP,Notebook,15.6,8,Windows 10,2.1,794.0,0.0,1024.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,Full HD,1920,1080
224,Dell,Gaming,17.3,16,Windows 10,4.42,2456.34,256.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,IPS Panel Full HD,1920,1080
225,Acer,Notebook,15.6,8,Windows 10,2.2,832.0,256.0,0.0,0.0,0.0,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,Full HD,1920,1080
226,Dell,Notebook,15.6,16,Windows 10,2.3,859.01,0.0,1024.0,0.0,0.0,Intel,Core i7 7500U,2.7,AMD,Radeon R7 M445,Full HD / Touchscreen,1920,1080
227,Asus,Notebook,15.6,8,Windows 10,2.0,769.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Nvidia,GeForce 920MX ,Full HD,1920,1080
228,Asus,Notebook,17.3,8,Windows 10,2.69,891.0,256.0,500.0,0.0,0.0,Intel,Core i5 7200U,2.5,Nvidia,GeForce GTX 950M,Full HD,1920,1080
229,HP,Notebook,15.6,8,Windows 10,1.9,1269.0,0.0,1024.0,0.0,0.0,Intel,Core i7 7500U,2.7,AMD,FirePro W4190M ,Full HD,1920,1080
230,Asus,Notebook,15.6,4,Windows 10,2.37,398.99,0.0,1024.0,0.0,0.0,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,Unknown,1366,768
231,HP,Notebook,15.6,4,Windows 10,2.1,330.0,0.0,500.0,0.0,0.0,AMD,E-Series 9000e,1.5,AMD,Radeon R2,Unknown,1366,768
232,Lenovo,Gaming,15.6,16,Windows 10,3.2,1499.0,256.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,IPS Panel Full HD,1920,1080
233,Dell,Notebook,14.0,8,Windows 10,1.6,859.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Full HD,1920,1080
234,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,689.0,256.0,0.0,0.0,0.0,Intel,Core i5 6200U,2.3,Intel,HD Graphics 520,IPS Panel Full HD / Touchscreen,1920,1080
235,Dell,Notebook,15.6,16,Linux,2.36,899.0,256.0,0.0,0.0,0.0,Intel,Core i7 7500U,2.7,AMD,Radeon R7 M445,Full HD,1920,1080
236,Acer,Notebook,15.6,4,Linux,2.1,390.0,0.0,1024.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Unknown,1366,768
237,Asus,Notebook,15.6,4,Windows 10,2.2,575.0,128.0,1024.0,0.0,0.0,AMD,A10-Series A10-9620P,2.5,AMD,Radeon R5 M430,Full HD,1920,1080
238,Asus,Gaming,17.3,32,Windows 10,4.7,3890.0,512.0,1024.0,0.0,0.0,Intel,Core i7 7820HK,2.9,Nvidia,GeForce GTX 1080,Full HD,1920,1080
239,Acer,Gaming,15.6,8,Windows 10,2.5,846.0,256.0,0.0,0.0,0.0,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,IPS Panel Full HD,1920,1080
240,Lenovo,Notebook,15.6,8,Windows 10,2.2,589.0,128.0,0.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Unknown,1366,768
241,Asus,Notebook,17.3,8,Windows 10,2.1,1145.0,128.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce 150MX,Full HD,1920,1080
242,Asus,Notebook,17.3,8,No OS,2.69,889.0,128.0,1024.0,0.0,0.0,Intel,Core i7 7500U,2.7,Nvidia,GeForce GTX 950M,Full HD,1920,1080
243,Dell,Gaming,15.6,8,Windows 10,2.56,879.0,256.0,0.0,0.0,0.0,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,Full HD,1920,1080
244,Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.38,1079.0,256.0,0.0,0.0,0.0,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,IPS Panel Full HD / Touchscreen,1920,1080
245,Dell,Notebook,15.6,8,Windows 10,2.2,985.0,128.0,2048.0,0.0,0.0,Intel,Core i7 8550U,1.8,AMD,Radeon 530,Full HD,1920,1080
246,HP,Notebook,15.6,8,Windows 10,2.04,559.0,0.0,1024.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Touchscreen,1366,768
247,Asus,Gaming,17.3,16,Windows 10,3.6,2999.0,256.0,0.0,0.0,0.0,Intel,Core i7 7820HK,2.9,Nvidia,GeForce GTX 1080,Full HD,1920,1080
248,HP,Notebook,13.3,4,Windows 10,1.49,675.0,0.0,500.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,IPS Panel Full HD,1920,1080
249,Apple,Ultrabook,13.3,8,macOS,1.37,2040.0,512.0,0.0,0.0,0.0,Intel,Core i5,3.1,Intel,Iris Plus Graphics 650,IPS Panel Retina Display,2560,1600
250,Dell,2 in 1 Convertible,15.6,8,Windows 10,2.08,819.0,0.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,IPS Panel Full HD / Touchscreen,1920,1080
251,Asus,Gaming,17.3,16,Windows 10,4.3,1799.0,256.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 980M,Full HD,1920,1080
252,Asus,Notebook,15.6,4,Windows 10,1.68,469.0,0.0,1024.0,0.0,0.0,AMD,A9-Series 9420,3.0,AMD,Radeon R5 M420,Unknown,1366,768
253,Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.37,1849.0,512.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,IPS Panel Full HD / Touchscreen,1920,1080
254,Acer,Notebook,17.3,4,Windows 10,3.0,702.0,256.0,0.0,0.0,0.0,Intel,Core i3 7130U,2.7,Nvidia,GeForce MX130,IPS Panel Full HD,1920,1080
255,Dell,Ultrabook,13.3,8,Windows 10,1.41,949.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,Full HD,1920,1080
256,HP,Notebook,15.6,8,Windows 10,1.91,445.9,128.0,0.0,0.0,0.0,AMD,A6-Series A6-9220,2.5,AMD,Radeon R4 Graphics,Unknown,1366,768
257,HP,Notebook,17.3,16,Windows 10,2.9,1059.0,0.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX150,IPS Panel Full HD,1920,1080
258,MSI,Gaming,17.3,16,Windows 10,4.14,2499.0,512.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1070,Full HD,1920,1080
259,Lenovo,2 in 1 Convertible,15.6,8,Windows 10,2.0,1699.0,512.0,0.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050M,IPS Panel Full HD / Touchscreen,1920,1080
260,Dell,Notebook,17.3,8,Windows 10,2.8,1142.0,128.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,AMD,Radeon 530,Full HD,1920,1080
261,Lenovo,Notebook,15.6,4,No OS,2.2,444.0,256.0,0.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Full HD,1920,1080
262,HP,Notebook,15.6,4,Windows 10,2.1,722.0,0.0,500.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,HD Graphics 620,IPS Panel Full HD,1920,1080
263,Dell,Notebook,15.6,4,Windows 10,2.18,657.0,0.0,1024.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Full HD,1920,1080
264,Dell,Notebook,15.6,8,Windows 10,2.24,565.0,0.0,1024.0,0.0,0.0,Intel,Core i5 7200U,2.5,AMD,Radeon R5 M430,Full HD,1920,1080
265,Dell,2 in 1 Convertible,15.6,8,Windows 10,2.67,799.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,Full HD / Touchscreen,1920,1080
266,Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,1499.0,1024.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,Full HD / Touchscreen,1920,1080
267,Lenovo,Notebook,15.6,4,No OS,2.2,467.0,0.0,1024.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Full HD,1920,1080
268,HP,Notebook,17.3,8,Windows 10,2.5,1018.0,0.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce 930MX ,Full HD,1920,1080
269,Lenovo,Notebook,15.6,8,Windows 10,2.05,880.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Intel,UHD Graphics 620,Full HD,1920,1080
270,Apple,Ultrabook,13.3,8,macOS,1.37,1958.9,512.0,0.0,0.0,0.0,Intel,Core i5,2.9,Intel,Iris Graphics 550,IPS Panel Retina Display,2560,1600
271,Asus,Gaming,17.3,16,Windows 10,3.2,1549.0,256.0,1024.0,0.0,0.0,AMD,Ryzen 1700,3.0,AMD,Radeon RX 580,Full HD,1920,1080
272,Dell,Notebook,15.6,8,Linux,2.14,735.07,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,AMD,Radeon 520,Full HD,1920,1080
273,Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.36,2499.0,512.0,0.0,0.0,0.0,Intel,Core i7 6600U,2.6,Intel,HD Graphics 520,Touchscreen,2560,1440
274,Toshiba,Notebook,15.6,8,Windows 10,2.2,812.0,0.0,500.0,0.0,0.0,Intel,Core i7 6500U,2.5,Nvidia,GeForce 930M,Unknown,1366,768
275,Dell,Notebook,15.6,12,Windows 10,2.3,713.07,0.0,1024.0,0.0,0.0,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,Unknown,1366,768
276,Dell,Notebook,17.3,8,Linux,2.8,1099.0,128.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,AMD,Radeon 530,Full HD,1920,1080
277,Acer,Notebook,15.6,8,Windows 10,2.2,745.0,0.0,1024.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX130,IPS Panel Full HD,1920,1080
278,Lenovo,Notebook,17.3,4,Windows 10,2.8,489.0,0.0,1024.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Unknown,1600,900
279,Lenovo,Notebook,17.3,8,No OS,2.8,849.0,0.0,2048.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX150,Full HD,1920,1080
280,Lenovo,Notebook,17.3,6,Windows 10,2.8,859.0,128.0,1024.0,0.0,0.0,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,Unknown,1600,900
281,Dell,Notebook,15.6,4,Linux,2.25,428.0,0.0,1024.0,0.0,0.0,Intel,Core i3 6006U,2.0,AMD,Radeon R5 M430,Full HD,1920,1080
282,Lenovo,Gaming,15.6,8,Windows 10,2.5,829.0,256.0,0.0,0.0,0.0,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,IPS Panel Full HD,1920,1080
283,Lenovo,Notebook,15.6,6,Windows 10,2.2,579.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Full HD,1920,1080
284,Acer,Notebook,15.6,8,Windows 10,3.0,951.0,256.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX150,IPS Panel Full HD,1920,1080
285,Acer,Notebook,15.6,12,Windows 10,2.15,659.0,0.0,1024.0,0.0,0.0,Intel,Core i7 7500U,2.7,Intel,HD Graphics 620,IPS Panel Full HD / Touchscreen,1920,1080
286,Lenovo,Notebook,15.6,8,Windows 10,1.95,1097.0,256.0,0.0,0.0,0.0,Intel,Core i7 7500U,2.7,Intel,HD Graphics 630,IPS Panel Full HD,1920,1080
287,Asus,Ultrabook,15.6,8,Windows 10,1.7,977.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Nvidia,GeForce 940MX,Full HD,1920,1080
288,Lenovo,Gaming,15.6,16,Windows 10,2.5,1179.0,256.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050 Ti,IPS Panel Full HD,1920,1080
289,Lenovo,Notebook,15.6,8,No OS,2.2,659.01,0.0,1024.0,0.0,0.0,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,Full HD,1920,1080
290,Acer,Notebook,15.6,2,Chrome OS,2.19,199.0,16.0,0.0,0.0,0.0,Intel,Celeron Dual Core 3205U,1.5,Intel,HD Graphics,Unknown,1366,768
291,Asus,Gaming,17.3,8,Windows 10,3.0,1187.0,0.0,1024.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,Full HD,1920,1080
292,HP,Notebook,17.3,8,Windows 10,2.54,489.0,0.0,1024.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Unknown,1600,900
293,Dell,Notebook,15.6,8,Windows 10,2.0,1829.0,256.0,0.0,0.0,0.0,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1050,Full HD,1920,1080
